,COUNTYFIPS,Obesity among adults aged >=18 years,Stroke among adults aged >=18 years,Arthritis among adults aged >=18 years,Mammography use among women aged 50-74 years,Depression among adults aged >=18 years,Vision disability among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Visits to dentist or dental clinic among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Current smoking among adults aged >=18 years,Mobility disability among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Self-care disability among adults aged >=18 years,Cholesterol screening among adults aged >=18 years,Any disability among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",All teeth lost among adults aged >=65 years,No leisure-time physical activity among adults aged >=18 years,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Sleeping less than 7 hours among adults aged >=18 years,Independent living disability among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Cancer (excluding skin cancer) among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,High blood pressure among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Binge drinking among adults aged >=18 years,Fair or poor self-rated health status among adults aged >=18 years,Current asthma among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Cognitive disability among adults ages >=18 years,Hearing disability among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Physical health not good for >=14 days among adults aged >=18 years,Coronary heart disease among adults aged >=18 years
543,13039,35.040000000000006,2.7199999999999998,23.07,78.07000000000001,22.490000000000002,4.95,6.229999999999999,59.010000000000005,32.8,16.8,12.559999999999999,70.69,3.59,83.28999999999999,29.47,67.64999999999999,15.579999999999998,23.57,40.22,37.11999999999999,7.899999999999999,14.770000000000001,5.340000000000001,2.6900000000000004,33.42,17.4,80.86999999999999,17.610000000000003,15.95,9.97,74.75,14.9,5.46,9.979999999999999,45.26,11.430000000000001,4.87
544,13037,46.55,5.0,28.2,76.44999999999999,19.8,10.45,9.7,40.8,37.650000000000006,25.65,21.95,76.94999999999999,7.8,82.35,41.05,65.25,30.2,36.4,30.2,43.1,13.55,24.3,5.65,4.1,46.95,19.15,79.2,13.9,28.6,11.399999999999999,77.6,20.450000000000003,7.1,17.75,36.3,16.7,7.65
545,13035,40.233333333333334,3.8666666666666667,27.833333333333332,75.53333333333333,21.866666666666664,7.233333333333334,8.733333333333333,48.833333333333336,37.96666666666667,22.633333333333336,17.7,76.23333333333333,5.466666666666666,83.3,36.166666666666664,66.46666666666667,22.8,30.433333333333334,33.36666666666667,38.73333333333333,10.566666666666666,19.099999999999998,6.099999999999999,3.4,40.06666666666666,18.5,80.3,15.299999999999999,22.3,10.700000000000001,75.66666666666667,17.833333333333332,6.966666666666666,13.5,40.5,14.566666666666668,6.733333333333333
546,13043,41.166666666666664,4.566666666666666,30.099999999999998,75.33333333333333,23.333333333333332,9.200000000000001,10.4,47.4,39.666666666666664,23.5,21.266666666666666,79.16666666666667,6.8999999999999995,82.93333333333334,40.199999999999996,65.03333333333335,26.066666666666666,34.56666666666667,31.8,38.36666666666667,12.566666666666668,22.866666666666664,6.533333333333334,4.000000000000001,43.0,19.26666666666667,78.66666666666667,13.699999999999998,25.96666666666667,11.233333333333334,76.93333333333332,19.7,8.1,16.5,38.833333333333336,16.7,8.066666666666668
547,13025,41.333333333333336,3.8666666666666667,30.433333333333334,70.8,25.233333333333334,7.233333333333333,10.333333333333334,46.43333333333334,40.26666666666667,24.46666666666667,18.9,77.43333333333332,5.666666666666667,82.8,37.9,65.39999999999999,23.8,33.0,34.1,36.96666666666666,11.266666666666666,18.933333333333334,6.533333333333334,3.4333333333333336,40.199999999999996,19.733333333333334,78.3,14.700000000000001,23.03333333333333,11.033333333333331,74.23333333333333,19.066666666666666,8.133333333333333,13.366666666666665,36.766666666666666,15.9,7.533333333333334
548,13065,44.400000000000006,5.65,33.6,74.75,25.1,12.95,13.95,39.1,41.599999999999994,30.65,26.95,79.65,10.05,80.65,47.05,62.3,33.75,40.900000000000006,29.5,40.15,17.15,25.7,6.5,4.5,47.35,22.4,75.85,12.2,33.15,12.85,77.1,24.700000000000003,9.35,19.85,35.75,20.6,9.65
549,13061,45.9,6.7,36.8,77.4,20.9,12.9,13.3,41.8,42.8,25.4,29.0,83.7,10.1,85.7,46.5,65.6,30.9,40.8,31.1,40.9,16.2,21.4,7.7,5.4,53.7,19.3,78.5,10.1,32.8,12.5,81.4,21.2,9.4,23.1,33.9,19.8,10.7
550,13027,39.279999999999994,4.5600000000000005,31.259999999999998,75.92,22.18,8.24,9.34,51.4,39.04,20.860000000000003,20.28,80.44000000000001,6.26,85.76,37.82,65.97999999999999,22.919999999999998,32.660000000000004,33.52,37.36,11.34,18.18,6.94,4.06,44.08,17.82,80.3,13.319999999999999,23.700000000000003,11.14,78.67999999999999,17.28,7.5600000000000005,16.4,43.84,15.460000000000003,7.720000000000001
551,13023,35.76666666666667,3.8000000000000003,28.8,74.7,22.366666666666664,6.866666666666667,8.133333333333333,54.9,36.63333333333333,18.633333333333333,17.0,77.73333333333333,5.033333333333334,84.06666666666668,34.63333333333333,68.06666666666666,20.766666666666666,28.933333333333334,34.06666666666667,36.1,10.366666666666667,16.466666666666665,6.533333333333334,3.466666666666667,39.4,18.2,80.46666666666667,13.899999999999999,20.5,10.9,77.39999999999999,16.96666666666667,7.0,13.0,45.833333333333336,13.766666666666666,6.733333333333333
552,13049,41.650000000000006,4.1,29.75,73.65,23.15,7.95,9.899999999999999,46.55,38.65,24.35,19.2,76.65,6.05,82.44999999999999,38.7,64.1,24.1,32.9,36.45,37.9,11.45,20.8,6.35,3.6,41.8,19.0,79.05000000000001,15.05,24.25,10.850000000000001,75.2,19.0,7.8999999999999995,14.55,37.400000000000006,16.049999999999997,7.5
